country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
Guinea,8240730,8417081,8586074,8753093,8925743,9109581,9307425,9518162,9738792,9964469,10192176,10420471,10652029,10892810,11150977,11432088,11738441,12067539,12414318,12771246,13133000,13497000,13866000,14239000,14618000,15004000,15397000,15795000,16199000,16608000,17021000,17439000,17861000,18287000,18716000,19150000
Guinea-Bissau,1201301,1227106,1254453,1283305,1313492,1344930,1377581,1411543,1446936,1483921,1522599,1562989,1604979,1648257,1692439,1737202,1782437,1828146,1874309,1920922,1968000,2015000,2063000,2112000,2160000,2209000,2259000,2309000,2359000,2410000,2461000,2513000,2565000,2618000,2671000,2724000
Guyana,746715,745206,744789,745143,745737,746163,746343,746474,746817,747718,749436,752028,755399,759285,763380,767432,771366,775221,779004,782766,787000,790000,794000,798000,801000,805000,809000,812000,815000,819000,822000,824000,827000,829000,830000,832000
Haiti,8463806,8608819,8754150,8900104,9047077,9195288,9344785,9495328,9646580,9798046,9949322,10100320,10250930,10400673,10549008,10695542,10839970,10982366,11123176,11263077,11403000,11542000,11680000,11818000,11954000,12089000,12221000,12352000,12480000,12607000,12733000,12857000,12980000,13101000,13222000,13341000
Heavily indebted poor countries (HIPC),471680794,485112686,499113575,513601239,528444632,543555326,558909236,574560260,590590368,607115564,624219326,641921311,660193774,679012664,698336451,718128416,738387254,759106221,780234406,801708035,823482000,845519000,867840000,890460000,913428000,936772000,960494000,984575000,1009000000,1033747000,1058784000,1084116000,1109730000,1135609000,1161743000,1188124000
High income,1101479766,1108227432,1115120730,1122162870,1129635679,1137301496,1145660099,1154287212,1163465944,1171805563,1179329058,1184722242,1191504221,1198364438,1205404811,1212252370,1219052243,1225031038,1230515710,1235852838,1239638000,1243302000,1246662000,1249774000,1252702000,1255535000,1258249000,1260842000,1263291000,1265567000,1267676000,1269633000,1271442000,1273090000,1274580000,1275899000
Honduras,6574509,6751912,6929265,7106319,7282953,7458985,7634298,7808518,7980955,8150775,8317470,8480671,8640691,8798521,8955589,9112916,9270795,9429013,9587522,9746117,9905000,10063000,10221000,10379000,10536000,10692000,10847000,11000000,11152000,11302000,11449000,11594000,11737000,11877000,12014000,12148000
"Hong Kong SAR, China",6665000,6714300,6744100,6730800,6783500,6813200,6857100,6916300,6957800,6972800,7024200,7071600,7150100,7178900,7229500,7291300,7336600,7391700,7451000,7507400,7560000,7611000,7661000,7712000,7766000,7824000,7883000,7940000,7993000,8037000,8070000,8094000,8110000,8120000,8126000,8128000
Hungary,10210971,10187576,10158608,10129552,10107146,10087065,10071370,10055780,10038188,10022650,10000023,9971727,9920362,9893082,9866468,9843028,9814023,9787966,9775564,9769949,9741000,9712000,9681000,9649000,9617000,9583000,9549000,9514000,9478000,9440000,9400000,9359000,9316000,9271000,9224000,9177000
Iceland,281205,284968,287523,289521,292074,296734,303782,311566,317414,318499,318041,319014,320716,323764,327386,330815,335439,343400,352721,361313,364000,366000,368000,370000,372000,374000,376000,377000,379000,381000,382000,384000,385000,386000,387000,389000
India,1056575549,1075000085,1093317189,1111523144,1129623456,1147609927,1165486291,1183209472,1200669765,1217726215,1234281170,1250288729,1265782790,1280846129,1295604184,1310152403,1324509589,1338658835,1352617328,1366417754,1380004000,1393409000,1406632000,1419656000,1432456000,1445012000,1457309000,1469339000,1481083000,1492524000,1503642000,1514427000,1524862000,1534914000,1544544000,1553724000
Indonesia,211513823,214427417,217357793,220309469,223285676,226289470,229318262,232374245,235469762,238620563,241834215,245116206,248452413,251806402,255129004,258383256,261554226,264645886,267663435,270625568,273524000,276362000,279135000,281844000,284495000,287090000,289628000,292109000,294533000,296896000,299198000,301439000,303618000,305733000,307783000,309765000
"Iran, Islamic Rep.",65623405,66449112,67284796,68122938,68951281,69762347,70554760,71336475,72120604,72924837,73762519,74634956,75539862,76481943,77465753,78492215,79564016,80673951,81800269,82913906,83993000,85029000,86023000,86976000,87892000,88775000,89623000,90433000,91208000,91951000,92664000,93348000,94005000,94638000,95250000,95844000
Iraq,23497585,24208180,24931919,25644499,26313838,26922284,27448124,27911248,28385746,28973162,29741976,30725300,31890011,33157050,34411951,35572261,36610632,37552781,38433600,39309783,40222000,41179000,42165000,43171000,44182000,45187000,46186000,47183000,48181000,49184000,50194000,51212000,52236000,53267000,54303000,55343000
Ireland,3805174,3866243,3931947,3996521,4070262,4159914,4273591,4398942,4489544,4535375,4560155,4580084,4599533,4623816,4657740,4701957,4755335,4807388,4867316,4941444,4991000,5030000,5063000,5091000,5117000,5143000,5170000,5197000,5224000,5250000,5274000,5298000,5321000,5343000,5366000,5389000
Isle of Man,76941,77703,78318,78884,79520,80305,81285,82408,83508,84376,84857,84886,84533,83976,83488,83234,83287,83598,84077,84584,85000,85000,86000,86000,86000,87000,87000,87000,87000,88000,88000,88000,88000,89000,89000,89000
Israel,6289000,6439000,6570000,6689700,6809000,6930100,7053700,7180100,7308800,7485600,7623600,7765800,7910500,8059500,8215700,8380100,8546000,8713300,8882800,9053300,9197000,9339000,9479000,9619000,9757000,9896000,10034000,10172000,10310000,10448000,10586000,10723000,10861000,10999000,11138000,11277000
Italy,56942108,56974100,57059007,57313203,57685327,57969484,58143979,58438310,58826731,59095365,59277417,59379449,59539717,60233948,60789140,60730582,60627498,60536709,60421760,60297396,60172000,60052000,59930000,59802000,59660000,59503000,59332000,59151000,58963000,58771000,58580000,58391000,58203000,58015000,57828000,57639000
Jamaica,2654701,2674702,2692845,2709437,2725015,2740003,2754407,2768227,2781876,2795837,2810460,2825929,2842132,2858709,2875136,2891021,2906238,2920853,2934855,2948279,2961000,2973000,2985000,2996000,3006000,3015000,3024000,3031000,3038000,3043000,3048000,3052000,3055000,3057000,3058000,3058000
Japan,126843000,127149000,127445000,127718000,127761000,127773000,127854000,128001000,128063000,128047000,128070000,127833000,127629000,127445000,127276000,127141000,126994511,126785797,126529100,126264931,125769000,125259000,124722000,124150000,123541000,122896000,122218000,121512000,120782000,120034000,119276000,118511000,117745000,116979000,116217000,115462000
Jordan,5122493,5217336,5317506,5434030,5580244,5765635,5991540,6255280,6556478,6893260,7261539,7663131,8090872,8520420,8920049,9266575,9551467,9779173,9956011,10101694,10203000,10269000,10301000,10312000,10321000,10340000,10375000,10426000,10492000,10569000,10655000,10751000,10858000,10974000,11096000,11224000
Kazakhstan,14883626,14858335,14858948,14909018,15012985,15147029,15308084,15484192,15674000,16092822,16321872,16557201,16792089,17035550,17288285,17542806,17794055,18037776,18276498.5,18513930,18733000,18949000,19160000,19364000,19561000,19749000,19929000,20104000,20275000,20444000,20613000,20783000,20952000,21123000,21295000,21468000
Kenya,31964557,32848564,33751739,34678779,35635271,36624895,37649033,38705932,39791981,40901792,42030676,43178257,44343410,45519889,46699981,47878336,49051686,50221473,51393010,52573973,53771000,54986000,56215000,57459000,58715000,59981000,61258000,62544000,63839000,65141000,66450000,67763000,69081000,70399000,71715000,73026000
Kiribati,84396,85849,87305,88835,90499,92325,94343,96527,98761,100930,102927,104728,106370,107890,109391,110930,112524,114158,115847,117606,119000,121000,123000,126000,128000,130000,132000,134000,135000,137000,139000,141000,143000,145000,146000,148000
Democratic People's Republic of Korea,22929075,23132980,23339453,23542426,23732731,23904167,24054864,24188331,24310142,24428341,24548836,24673385,24800612,24929452,25057752,25183833,25307744,25429985,25549819,25666161,25779000,25887000,25991000,26090000,26185000,26275000,26362000,26444000,26520000,26590000,26651000,26705000,26751000,26789000,26820000,26843000
Republic of Korea,47008111,47370164,47644736,47892330,48082519,48184561,48438292,48683638,49054708,49307835,49554112,49936638,50199853,50428893,50746659,51014947,51217803,51361911,51606633,51709098,51727000,51737000,51740000,51736000,51724000,51703000,51673000,51635000,51587000,51534000,51473000,51401000,51317000,51217000,51099000,50959000
Kosovo,1700000,1701154,1702310,1703466,1704622,1705780,1719536,1733404,1747383,1761474,1775680,1791000,1807106,1818117,1812771,1788196,1777557,1791003,1797085,1794248,1806000,1818000,1830000,1843000,1856000,1869000,1882000,1894000,1907000,1919000,1930000,1942000,1953000,1963000,1974000,1984000
Kuwait,2045123,2103282,2136997,2161626,2200492,2270198,2373672,2504019,2656009,2821045,2991884,3168060,3348853,3526376,3690941,3835591,3956875,4056099,4137312,4207083,4271000,4329000,4380000,4428000,4473000,4518000,4563000,4609000,4656000,4702000,4747000,4791000,4834000,4876000,4918000,4959000
Kyrgyz Republic,4898400,4945100,4990700,5043300,5104700,5162600,5218400,5268400,5318700,5383300,5447900,5514600,5607200,5719600,5835500,5956900,6079500,6198200,6322800,6456900,6565000,6669000,6768000,6865000,6958000,7051000,7143000,7233000,7322000,7411000,7499000,7586000,7674000,7762000,7850000,7939000
Laos,5323700,5409582,5493246,5576640,5662208,5751676,5846074,5944948,6046620,6148623,6249165,6347567,6444530,6541304,6639756,6741164,6845846,6953035,7061507,7169455,7276000,7379000,7481000,7581000,7678000,7775000,7869000,7961000,8052000,8140000,8226000,8310000,8392000,8472000,8550000,8626000
Late-demographic dividend,2045125923,2059873500,2073757401,2087310557,2100746529,2114307505,2127750972,2140907330,2154245139,2167842734,2180828823,2193830154,2206931627,2220297520,2233867635,2247409050,2261412980,2275534160,2287846155,2298470832,2308543000,2317613000,2325653000,2332758000,2339082000,2344774000,2349876000,2354395000,2358322000,2361608000,2364238000,2366197000,2367521000,2368219000,2368351000,2367966000
Latin America & Caribbean,520903450,528283160,535509360,542599538,549590595,556504290,563337673,570091451,576783744,583430031,589932554,596538552,603096250,609598313,616001190,622301083,628488528,634554056,640467174,646430843,652201000,657977000,663677000,669267000,674726000,680040000,685192000,690191000,695028000,699701000,704206000,708542000,712707000,716701000,720523000,724184000
Latin America & Caribbean (excluding high income),492968023,500087458,507060155,513900749,520642948,527308236,533896504,540405225,546848929,553244958,559496778,565881766,572223264,578500250,584677997,590731803,596647568,602435369,608125444,613773119,619401000,624993000,630545000,636026000,641383000,646595000,651648000,656541000,661269000,665830000,670223000,674438000,678475000,682339000,686034000,689579000
Latin America & the Caribbean (IDA & IBRD countries),504921262,512247471,519420817,526462542,533415168,540306214,547139425,553909968,560624659,567289601,573800630,580428962,587001215,593509457,599937483,606271969,612506457,618641500,624681220,630644772,636529000,642310000,647993000,653564000,659003000,664311000,669473000,674490000,679354000,684062000,688610000,692990000,697204000,701252000,705128000,708846000
Latvia,2367550,2337170,2310173,2287955,2263122,2238799,2218357,2200325,2177322,2141669,2097555,2059709,2034319,2012647,1993782,1977527,1959537,1942248,1927174,1912789,1893000,1875000,1857000,1840000,1824000,1808000,1792000,1777000,1762000,1747000,1732000,1717000,1703000,1689000,1675000,1661000
Least developed countries: UN classification,657215864,673903112,691061397,708587948,726331177,744190510,762132501,780219542,798563392,817322629,836614860,856472234,876869863,897797478,919226401,941131317,963511276,986365080,1009662578,1033388876,1057439000,1081815000,1106523000,1131529000,1156819000,1182377000,1208188000,1234236000,1260514000,1287029000,1313758000,1340705000,1367853000,1395184000,1422688000,1450361000
Lebanon,3842778,3991001,4182205,4388375,4569378,4698763,4759753,4767344,4764741,4813026,4953061,5202343,5538634,5914621,6262410,6532678,6711121,6811873,6848925,6855713,6825000,6769000,6685000,6585000,6485000,6397000,6327000,6274000,6237000,6211000,6195000,6187000,6190000,6202000,6220000,6242000
Lesotho,2032804,2035740,2029829,2018348,2005940,1996114,1989939,1986922,1987129,1990131,1995581,2003787,2014990,2028519,2043437,2059021,2075001,2091412,2108132,2125268,2142000,2159000,2176000,2192000,2210000,2228000,2246000,2266000,2286000,2306000,2325000,2344000,2363000,2382000,2400000,2418000
Liberia,2848456,2953927,3024729,3077058,3135651,3218116,3329211,3461911,3607860,3754133,3891356,4017443,4135659,4248334,4359505,4472230,4586788,4702228,4818977,4937374,5058000,5180000,5305000,5432000,5561000,5692000,5825000,5959000,6095000,6233000,6372000,6512000,6654000,6797000,6941000,7086000
Libya,5357891,5443248,5531089,5620547,5710154,5798614,5886872,5974787,6058748,6133984,6197663,6247439,6285750,6320359,6362037,6418315,6492164,6580724,6678567,6777452,6871000,6959000,7041000,7119000,7194000,7268000,7340000,7410000,7477000,7543000,7606000,7668000,7728000,7785000,7842000,7897000
Liechtenstein,33184,33552,33879,34175,34452,34713,34970,35217,35471,35727,35994,36293,36615,36934,37223,37470,37658,37800,37910,38019,38000,38000,38000,39000,39000,39000,39000,39000,39000,39000,39000,40000,40000,40000,40000,40000
Lithuania,3499536,3470818,3443067,3415213,3377075,3322528,3269909,3231294,3198231,3162916,3097282,3028115,2987773,2957689,2932367,2904910,2868231,2828403,2801543,2786844,2753000,2724000,2699000,2676000,2654000,2633000,2613000,2592000,2572000,2552000,2533000,2513000,2493000,2474000,2454000,2434000
Low & middle income,5012852771,5085444342,5157632243,5229719493,5301915963,5374446871,5447074438,5519916433,5593451949,5667768723,5742542545,5818138003,5894258056,5971273930,6048822070,6126712584,6205233900,6284043441,6361429561,6437681136,6513764000,6589314000,6664239000,6738444000,6811836000,6884374000,6956020000,7026776000,7096650000,7165656000,7233788000,7301020000,7367325000,7432682000,7497099000,7560619000
Low income,401768207,413123461,424933735,437166682,449765047,462679645,475927007,489505419,503324676,517267751,531260028,545266258,559335524,573583598,588174709,603234541,618780841,634796692,651327587,668454965,686091000,704297000,723048000,742220000,761652000,781220000,800879000,820637000,840501000,860509000,880670000,900980000,921415000,941979000,962691000,983551000
Lower middle income,2155781287,2194583752,2233327611,2272093950,2310951151,2349947388,2389129523,2428529757,2468136919,2507929642,2548154994,2588455505,2628465458,2668772179,2709173405,2749824313,2790617792,2831466703,2872397765,2913363391,2954025000,2994562000,3034973000,3075214000,3115245000,3155046000,3194581000,3233836000,3272794000,3311457000,3349810000,3387839000,3425538000,3462856000,3499763000,3536256000
Luxembourg,436300,441525,446175,451630,458095,465158,472637,479993,488650,497783,506953,518347,530946,543360,556319,569604,582014,596336,607950,619896,629000,636000,643000,649000,655000,661000,666000,672000,678000,684000,689000,695000,700000,706000,711000,716000
"Macao SAR, China",427782,437938,448821,460165,471597,482858,493799,504511,515239,526400,538219,550832,564039,577372,590208,602085,612836,622585,631636,640445,649000,658000,667000,677000,685000,694000,702000,710000,718000,725000,732000,739000,745000,751000,757000,763000
Madagascar,15766806,16260932,16765117,17279141,17802997,18336724,18880269,19433530,19996473,20569117,21151640,21743967,22346641,22961253,23589887,24234088,24894380,25570540,26262368,26969307,27691000,28427000,29178000,29943000,30720000,31510000,32311000,33124000,33948000,34781000,35622000,36472000,37329000,38194000,39067000,39949000
Malawi,11148758,11432000,11713664,12000181,12301838,12625952,12973699,13341806,13727890,14128155,14539612,14962112,15396005,15839269,16289540,16745303,17205289,17670260,18143315,18628747,19130000,19648000,20181000,20728000,21288000,21857000,22437000,23027000,23627000,24234000,24849000,25472000,26101000,26736000,27376000,28022000
Malaysia,23194257,23709119,24208391,24698819,25190652,25690611,26201961,26720370,27236006,27735040,28208035,28650955,29068159,29468872,29866559,30270962,30684804,31105028,31528585,31949777,32366000,32776000,33181000,33579000,33969000,34350000,34720000,35080000,35429000,35767000,36095000,36412000,36718000,37012000,37295000,37566000
Maldives,279398,286306,294186,302683,311265,319608,327487,335169,343452,353398,365734,380495,397237,415593,435015,454915,475513,496402,515696,530953,541000,544000,541000,535000,528000,522000,519000,517000,517000,518000,519000,522000,525000,530000,534000,538000
Mali,10946445,11271600,11616887,11982695,12369070,12775516,13203378,13651464,14113577,14581429,15049353,15514591,15979499,16449864,16934220,17438778,17965429,18512394,19077690,19658031,20251000,20856000,21474000,22106000,22753000,23416000,24095000,24789000,25498000,26221000,26957000,27706000,28467000,29239000,30024000,30819000
Malta,390087,393028,395969,398582,401268,403834,405308,406724,409379,412477,414508,416268,420028,425967,434558,445053,455356,467999,484630,502653,504000,505000,506000,507000,508000,509000,510000,510000,510000,509000,509000,508000,507000,506000,505000,503000
Marshall Islands,50753,51422,52370,53456,54476,55258,55767,56051,56174,56250,56366,56531,56717,56938,57179,57439,57735,58058,58413,58791,59000,60000,60000,61000,61000,62000,62000,63000,64000,64000,65000,66000,66000,67000,68000,68000
Mauritania,2630219,2702400,2778099,2857148,2939247,3024194,3111906,3202517,3296238,3393409,3494195,3598648,3706554,3817494,3930896,4046301,4163534,4282574,4403319,4525696,4650000,4775000,4902000,5030000,5160000,5291000,5423000,5557000,5692000,5829000,5967000,6107000,6248000,6391000,6535000,6681000
Mauritius,1186873,1196287,1204621,1213370,1221003,1228254,1233996,1239630,1244121,1247429,1250400,1252404,1255882,1258653,1260934,1262605,1263473,1264613,1265303,1265711,1268000,1270000,1271000,1272000,1272000,1273000,1273000,1273000,1272000,1271000,1270000,1268000,1266000,1264000,1262000,1259000
Mexico,98899845,100298153,101684758,103081020,104514932,106005203,107560153,109170502,110815271,112463887,114092963,115695473,117274155,118827161,120355128,121858258,123333376,124777324,126190788,127575529,128933000,130262000,131563000,132834000,134074000,135284000,136462000,137609000,138725000,139814000,140876000,141912000,142921000,143900000,144845000,145755000
"Micronesia, Fed. Sts.",107402,107173,107030,106901,106625,106129,105371,104444,103543,102975,102911,103450,104506,105926,107446,108895,110215,111459,112640,113815,115000,116000,117000,119000,120000,121000,122000,123000,125000,126000,127000,128000,129000,130000,130000,131000
Middle East & North Africa,315326801,321297208,327362252,333608779,340143481,347029874,354302463,361929136,369823252,377883993,385917886,393944527,401974219,409977872,417932241,425821770,433597628,441255236,448912962,456707404,464510000,472453000,480489000,488529000,496439000,504134000,511575000,518788000,525804000,532666000,539420000,546060000,552587000,559024000,565409000,571760000
Middle East & North Africa (excluding high income),279279634,284249018,289264324,294343628,299502774,304755503,310109412,315573347,321168767,326900984,332777824,338814807,345004009,351299193,357637340,363975550,370276461,376546755,382896715,389457086,396144000,403046000,410109000,417228000,424251000,431078000,437666000,444040000,450235000,456313000,462319000,468252000,474109000,479908000,485678000,491438000
Middle East & North Africa (IDA & IBRD countries),276357481,281251234,286188951,291188659,296266148,301435107,306703078,312078851,317576790,323211885,328991663,334931821,341024011,347222485,353463942,359705458,365909373,372091950,378327628,384771780,391344000,398130000,405078000,412080000,418987000,425698000,432169000,438425000,444503000,450463000,456351000,462166000,467905000,473585000,479236000,484878000
Middle income,4611084564,4672320881,4732698508,4792552811,4852150916,4911767226,4971147431,5030411014,5090127273,5150500972,5211282517,5272871745,5334922532,5397690332,5460647361,5523478043,5586453059,5649246749,5710101974,5769226171,5827673000,5885017000,5941191000,5996224000,6050184000,6103154000,6155141000,6206139000,6256149000,6305147000,6353118000,6400040000,6445910000,6490703000,6534408000,6577068000
Moldova,2923783,2917252,2910504,2902320,2895147,2888111,2880095,2873429,2867964,2864346,2861487,2859833,2859458,2858692,2856950,2834530,2802170,2755158,2706049,2657637,2651000,2643000,2635000,2627000,2618000,2608000,2598000,2587000,2575000,2562000,2548000,2533000,2518000,2501000,2484000,2467000
Monaco,32147,32470,32806,33153,33500,33843,34190,34525,34872,35226,35612,36024,36460,36901,37322,37718,38070,38392,38682,38964,39000,40000,40000,40000,40000,41000,41000,41000,41000,42000,42000,42000,42000,42000,43000,43000
Mongolia,2397418,2419588,2443271,2468762,2496391,2526424,2558856,2593820,2631898,2673796,2719896,2770362,2824699,2881792,2940108,2998439,3056359,3113779,3170208,3225167,3278000,3329000,3378000,3425000,3470000,3514000,3556000,3598000,3638000,3677000,3716000,3754000,3792000,3830000,3867000,3904000
Montenegro,604950,607389,609828,612267,613353,614261,615025,615875,616969,618294,619428,620079,620601,621207,621810,622159,622303,622373,622227,622137,622000,622000,622000,622000,621000,621000,621000,620000,620000,619000,618000,617000,616000,614000,613000,612000
Morocco,28793679,29126330,29454768,29782884,30115214,30455561,30804683,31163673,31536811,31929087,32343389,32781850,33241898,33715693,34192347,34663603,35126296,35581294,36029138,36471769,36911000,37345000,37773000,38194000,38606000,39010000,39404000,39789000,40164000,40530000,40887000,41236000,41576000,41906000,42228000,42541000
Mozambique,17711927,18221888,18764155,19331100,19910552,20493925,21080110,21673316,22276596,22894710,23531574,24187487,24862648,25560725,26286163,27042002,27829942,28649007,29495962,30366036,31255000,32163000,33089000,34035000,35000000,35985000,36989000,38012000,39053000,40111000,41185000,42275000,43381000,44501000,45637000,46786000
Myanmar,46719701,47225120,47702171,48148902,48564484,48949924,49301050,49621475,49929642,50250367,50600818,50990615,51413698,51852451,52280807,52680726,53045226,53382581,53708395,54045420,54410000,54806000,55227000,55664000,56101000,56528000,56943000,57346000,57736000,58114000,58478000,58829000,59164000,59482000,59782000,60065000
Namibia,1794571,1823672,1851523,1879117,1907745,1938320,1971317,2006514,2043394,2081044,2118874,2156701,2194784,2233510,2273430,2314904,2358041,2402603,2448255,2494530,2541000,2587000,2634000,2680000,2727000,2774000,2821000,2868000,2916000,2963000,3011000,3059000,3107000,3155000,3204000,3252000
Nauru,10337,10215,10102,9994,9902,9849,9828,9842,9891,9939,10005,10057,10279,10821,11853,12475,13049,12876,12704,12581,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000
Nepal,23941110,24347106,24725627,25080872,25419344,25744500,26066693,26382581,26666576,26883535,27013212,27041437,26989862,26917906,26906926,27015031,27261131,27627124,28087871,28608710,29137000,29675000,30226000,30770000,31286000,31757000,32175000,32539000,32855000,33136000,33390000,33617000,33817000,33993000,34152000,34300000
Netherlands,15925513,16046180,16148929,16225302,16281779,16319868,16346101,16381696,16445593,16530388,16615394,16693074,16754962,16804432,16865008,16939923,17030314,17131296,17231624,17332850,17368000,17405000,17442000,17477000,17510000,17540000,17566000,17588000,17607000,17622000,17634000,17643000,17650000,17654000,17655000,17654000
New Caledonia,213230,217324,221490,225296,228750,232250,235750,239250,242750,245950,249750,254350,259000,263650,268050,272400,276550,280350,284060,287800,291000,293000,296000,299000,301000,304000,306000,309000,311000,314000,316000,318000,321000,323000,325000,327000
New Zealand,3857700,3880500,3948500,4027200,4087500,4133900,4184600,4223800,4259800,4302600,4350700,4384000,4408100,4442100,4509700,4595700,4693200,4793900,4841000,4917000,4955000,4993000,5030000,5067000,5102000,5137000,5171000,5203000,5235000,5266000,5295000,5324000,5351000,5378000,5403000,5428000
Nicaragua,5069302,5145366,5219328,5292118,5364935,5438690,5513763,5590055,5667432,5745526,5824065,5903039,5982526,6062454,6142733,6223240,6303974,6384855,6465513,6545502,6625000,6702000,6779000,6855000,6931000,7008000,7085000,7163000,7241000,7317000,7392000,7465000,7536000,7605000,7673000,7740000
Niger,11331557,11751365,12189983,12647984,13125916,13624467,14143971,14685399,15250908,15843133,16464025,17114761,17795191,18504255,19240157,20001663,20788838,21602472,22442948,23310715,24207000,25131000,26084000,27066000,28080000,29126000,30204000,31315000,32458000,33636000,34846000,36090000,37367000,38678000,40021000,41396000
Nigeria,122283850,125394046,128596076,131900631,135320422,138865016,142538308,146339977,150269623,154324933,158503197,162805071,167228767,171765769,176404902,181137448,185960289,190873311,195874740,200963599,206140000,211401000,216747000,222182000,227713000,233343000,239073000,244902000,250830000,256855000,262977000,269195000,275508000,281912000,288406000,294986000
North America,312909974,316052361,319048184,321815286,324809693,327824506,331015609,334185120,337406357,340466060,343391679,345960766,348610010,351141670,353803581,356403308,359115352,361592733,363809186,365892703,368051000,370252000,372430000,374585000,376722000,378849000,380964000,383058000,385126000,387169000,389191000,391194000,393167000,395099000,396978000,398799000
North Macedonia,2034819,2042842,2048928,2053426,2057048,2060273,2063131,2065426,2067313,2069039,2070741,2072487,2074278,2076067,2077775,2079328,2080745,2081996,2082958,2083459,2083000,2083000,2081000,2079000,2077000,2074000,2070000,2066000,2062000,2056000,2051000,2044000,2038000,2030000,2023000,2014000
Northern Mariana Islands,57453,58321,58420,57947,57246,56542,55882,55219,54625,54193,53971,54012,54311,54784,55305,55780,56188,56562,56882,57216,58000,58000,58000,59000,59000,59000,60000,60000,60000,61000,61000,61000,62000,62000,62000,62000
Norway,4490967,4513751,4538159,4564855,4591910,4623291,4660677,4709153,4768212,4828726,4889252,4953088,5018573,5079623,5137232,5188607,5234519,5276968,5311916,5347896,5391000,5436000,5482000,5529000,5575000,5620000,5664000,5707000,5749000,5790000,5831000,5871000,5910000,5949000,5988000,6026000
Not classified,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
OECD members,1196874047,1205753802,1214754899,1223690233,1232647024,1241535834,1250788452,1260210152,1270059584,1279114140,1287527865,1294064030,1302075111,1310419162,1319149967,1327822047,1336645071,1344872020,1352645878,1359963500,1365704000,1370758000,1375199000,1379191000,1382959000,1386703000,1390450000,1394150000,1397773000,1401273000,1404634000,1407870000,1410990000,1413970000,1416774000,1419390000
Oman,2267973,2294962,2334858,2386166,2445517,2511251,2580758,2657158,2750963,2876186,3041434,3251108,3498029,3764805,4027260,4267348,4479219,4665935,4829483,4974986,5107000,5223000,5324000,5412000,5494000,5573000,5651000,5728000,5802000,5872000,5936000,5995000,6049000,6099000,6148000,6197000
Other small states,20917092,21276743,21639132,22018494,22442101,22929109,23486218,24104670,24762406,25417830,26050942,26647962,27227319,27794595,28364410,28948869,29542879,30148800,30760211,31360407,31915000,32443000,32951000,33449000,33938000,34434000,34930000,35430000,35933000,36431000,36927000,37421000,37912000,38398000,38885000,39367000
Pacific island small states,1962452,1984496,2006078,2027846,2050572,2074778,2100869,2128664,2157454,2186314,2214519,2241798,2268708,2296101,2325136,2355672,2388307,2422086,2457367,2493696,2530000,2568000,2605000,2646000,2685000,2723000,2764000,2804000,2844000,2884000,2925000,2967000,3007000,3050000,3089000,3131000
Pakistan,142343578,145978402,149549700,153093373,156664697,160304008,164022627,167808105,171648986,175525609,179424641,183340592,187281475,191262919,195306825,199426964,203627284,207896686,212215030,216565318,220892000,225200000,229489000,233757000,238006000,242234000,246439000,250617000,254764000,258878000,262959000,267003000,271012000,274989000,278938000,282863000
Palau,19105,19386,19637,19809,19867,19781,19540,19158,18704,18285,17955,17745,17640,17606,17626,17665,17725,17808,17907,18008,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000
Panama,3030328,3089648,3149188,3209048,3269356,3330217,3391666,3453675,3516204,3579215,3642687,3706483,3770624,3835437,3901315,3968487,4037078,4106771,4176873,4246439,4315000,4382000,4447000,4511000,4574000,4636000,4696000,4755000,4814000,4871000,4928000,4983000,5038000,5092000,5145000,5197000
Papua New Guinea,5847586,5974629,6098621,6223377,6354245,6494903,6646895,6808514,6976201,7144776,7310507,7472200,7631002,7788379,7946731,8107775,8271760,8438029,8606316,8776109,8947000,9119000,9292000,9466000,9642000,9818000,9995000,10173000,10351000,10530000,10709000,10889000,11069000,11249000,11428000,11607000
Paraguay,5323201,5428444,5531962,5632983,5730549,5824096,5913209,5998427,6081296,6163972,6248020,6333976,6421512,6510276,6599526,6688746,6777872,6867062,6956071,7044636,7133000,7220000,7306000,7391000,7475000,7558000,7639000,7719000,7797000,7874000,7950000,8024000,8097000,8168000,8237000,8304000
Peru,26459944,26799285,27100968,27372226,27624213,27866145,28102056,28333052,28562317,28792655,29027674,29264318,29506788,29773987,30090359,30470734,30926032,31444297,31989256,32510453,32972000,33359000,33684000,33966000,34236000,34517000,34815000,35120000,35429000,35735000,36031000,36317000,36596000,36868000,37132000,37388000
Philippines,77991755,79672873,81365258,83051971,84710542,86326250,87888675,89405482,90901965,92414158,93966780,95570047,97212638,98871552,100513138,102113212,103663927,105173264,106651922,108116615,109581000,111047000,112509000,113964000,115407000,116833000,118241000,119633000,121006000,122361000,123698000,125015000,126312000,127584000,128827000,130040000
