country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
Aruba,90853,92898,94992,97017,98737,100031,100834,101222,101358,101455,101669,102046,102560,103159,103774,104341,104872,105366,105845,106314,107000,107000,108000,108000,108000,109000,109000,109000,110000,110000,110000,110000,111000,111000,111000,111000
Australia,19153000,19413000,19651400,19895400,20127400,20394800,20697900,20827600,21249200,21691700,22031750,22340024,22733465,23128129,23475686,23815995,24190907,24601860,24982688,25364307,25651000,25932000,26207000,26477000,26743000,27006000,27265000,27521000,27773000,28022000,28267000,28509000,28748000,28984000,29217000,29447000
Austria,8011566,8042293,8081957,8121423,8171966,8227829,8268641,8295487,8321496,8343323,8363404,8391643,8429991,8479823,8546356,8642699,8736668,8797566,8840521,8877067,8912000,8934000,8947000,8955000,8962000,8973000,8985000,8998000,9012000,9025000,9035000,9044000,9052000,9058000,9062000,9065000
Azerbaijan,8048600,8111200,8171950,8234100,8306500,8391850,8484550,8581300,8763400,8947243,9054332,9173082,9295784,9416801,9535079,9649341,9757812,9854033,9939771,10023318,10112000,10195000,10270000,10340000,10404000,10464000,10520000,10572000,10620000,10665000,10708000,10749000,10787000,10824000,10858000,10891000
"Bahamas, The",298051,302618,307660,313129,318894,324859,331033,337389,343681,349604,354942,359577,363584,367168,370633,374206,377931,381761,385640,389482,393000,397000,401000,404000,408000,411000,414000,418000,421000,424000,427000,430000,432000,435000,438000,440000
Bahrain,664611,697545,735146,778708,829844,889164,958418,1035919,1114641,1185076,1240860,1278151,1299943,1315029,1336075,1371851,1425791,1494074,1569439,1641172,1702000,1748000,1784000,1812000,1838000,1865000,1895000,1926000,1957000,1986000,2013000,2038000,2060000,2081000,2100000,2119000
Bangladesh,127657854,130088702,132478086,134791603,136986432,139035505,140921167,142660376,144304167,145924797,147575430,149273778,151007807,152764676,154520167,156256276,157970840,159670593,161356039,163046161,164689000,166303000,167886000,169432000,170937000,172399000,173814000,175180000,176498000,177769000,178994000,180171000,181300000,182377000,183403000,184374000
Barbados,271515,272500,273425,274329,275284,276323,277477,278700,279946,281104,282131,282987,283700,284296,284825,285324,285796,286233,286641,287025,287000,288000,288000,288000,289000,289000,289000,289000,289000,289000,289000,289000,289000,289000,289000,289000
Belarus,9979610,9928549,9865548,9796749,9730146,9663915,9604924,9560953,9527985,9506765,9490583,9473172,9464495,9465997,9474511,9489616,9501534,9498264,9483499,9466856,9459000,9449000,9436000,9420000,9404000,9386000,9367000,9347000,9324000,9299000,9271000,9240000,9207000,9172000,9134000,9096000
Belgium,10251250,10286570,10332785,10376133,10421137,10478617,10547958,10625700,10709973,10796493,10895586,11038264,11106932,11159407,11209057,11274196,11331422,11375158,11427054,11484055,11525000,11560000,11592000,11622000,11650000,11680000,11709000,11738000,11765000,11791000,11815000,11838000,11858000,11878000,11896000,11914000
Belize,247315,255063,262378,269425,276504,283800,291329,299025,306823,314655,322464,330237,338000,345715,353366,360933,368400,375769,383071,390353,398000,405000,412000,419000,427000,434000,441000,448000,454000,461000,468000,474000,480000,487000,493000,499000
Benin,6865951,7076733,7295394,7520555,7750004,7982225,8216897,8454793,8696921,8944708,9199259,9460830,9729248,10004588,10286842,10575952,10872067,11175204,11485048,11801151,12123000,12451000,12785000,13124000,13470000,13822000,14180000,14544000,14915000,15291000,15672000,16060000,16453000,16851000,17254000,17663000
Bermuda,61833,62504,62912,63325,63740,64154,64523,64888,65273,65636,65124,64564,64798,65001,65138,65237,64554,63873,63920,63918,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,591021,603640,616018,627839,638815,648739,657410,664876,671613,678323,685503,693298,701583,710238,719056,727876,736709,745568,754394,763092,772000,780000,788000,796000,803000,811000,818000,824000,831000,837000,843000,848000,853000,858000,863000,867000
Bolivia,8418264,8580235,8742814,8905823,9069039,9232306,9395446,9558439,9721454,9884781,10048590,10212954,10377676,10542376,10706517,10869730,11031813,11192854,11353142,11513100,11673000,11833000,11993000,12152000,12311000,12468000,12625000,12781000,12936000,13089000,13240000,13390000,13538000,13684000,13828000,13971000
Bosnia and Herzegovina,3751176,3755512,3759387,3762173,3764194,3765331,3765424,3762786,3754271,3735938,3705472,3661175,3604972,3542605,3482104,3429361,3386267,3351527,3323929,3301000,3281000,3263000,3249000,3237000,3225000,3212000,3197000,3181000,3163000,3145000,3127000,3108000,3089000,3070000,3050000,3030000
Botswana,1643334,1674678,1704642,1734398,1765527,1799078,1835908,1875459,1915639,1953498,1987105,2015402,2039551,2062536,2088614,2120716,2159944,2205128,2254126,2303697,2352000,2397000,2441000,2484000,2526000,2568000,2610000,2651000,2693000,2734000,2774000,2815000,2855000,2895000,2935000,2975000
Brazil,174790340,177196054,179537520,181809246,184006481,186127103,188167356,190130443,192030362,193886508,195713635,197514534,199287296,201035903,202763735,204471769,206163058,207833831,209469333,211049527,212559000,213993000,215354000,216642000,217863000,219021000,220115000,221143000,222107000,223009000,223852000,224636000,225362000,226029000,226636000,227184000
British Virgin Islands,20311,20675,21129,21672,22334,23107,24023,25047,26097,27039,27794,28319,28650,28847,28989,29152,29355,29577,29802,30030,30000,30000,31000,31000,31000,31000,31000,31000,32000,32000,32000,32000,32000,32000,32000,32000
Brunei Darussalam,333165,340034,346782,353293,359433,365114,370263,374965,379421,383906,388646,393688,398989,404421,409769,414907,419800,424473,428962,433285,437000,442000,445000,449000,453000,456000,459000,463000,466000,468000,471000,473000,476000,478000,480000,482000
