country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Georgia,,,,,,,,,,,,,,,,,,,,
Ghana,0,0,0,0,1,1,3,4,8,11,14,20,23,24,26,25,28,31,33,45
Gibraltar,,,,,,,,,,,,,,,,,,,,
Guinea,0,0,0,0,1,1,3,4,8,11,14,20,23,24,26,25,28,31,33,45
"Gambia, The",0,0,0,0,0,2,2,3,5,6,10,15,18,18,19,20,24,26,28,29
Guinea-Bissau,0,0,0,0,0,0,1,3,6,8,11,14,18,18,21,24,30,30,36,41
Equatorial Guinea,0,0,0,0,1,2,3,6,8,11,7,10,15,25,24,21,27,36,35,35
Greece,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,
Greenland,,,,,,,,,,,,,,,,,,,,
Guatemala,0,0,0,12,11,11,16,25,31,32,35,38,42,44,45,44,45,49,54,58
Guam,,,,,,,,,,,,,,,,,,,,
Guyana,0,0,0,3,11,23,28,32,39,42,44,47,50,53,54,56,59,62,65,69
High income,,,,,,,,,,,,,,,,,,,,
"Hong Kong SAR, China",,,,,,,,,,,,,,,,,,,,
Honduras,0,0,1,7,9,13,17,21,24,28,31,34,37,40,41,44,45,47,48,48
Heavily indebted poor countries (HIPC),0,0.109942176,0.206353534,0.56733011,1.9035163,3.848338785,5.988347749,10.02872005,14.07916723,17.59270551,21.19493956,24.99904522,30.0501742,35.16047091,41.07910499,45.94459679,51.63179087,57.62970249,62.3526017,69.05391854
Croatia,,,,,,,,,,,,,,,,,,,,
Haiti,0,0,1,1,1,3,7,10,14,19,21,24,30,37,42,46,55,62,59,71
Hungary,,,,,,,,,,,,,,,,,,,,
IBRD only,,,,,,,,,,,,,,,,,,,,
IDA & IBRD total,,,,,,,,,,,,,,,,,,,,
IDA total,0,0.072637451,0.136305458,0.548768747,2.032479587,3.825054242,6.603291166,10.31259053,14.57158555,18.54661011,23.08777494,27.55523068,32.74985702,37.79687637,43.62940637,48.69510126,54.34174277,59.88941211,62.65545698,69.10555058
IDA blend,0,0.000266347,0.000748849,0.501054018,2.534311146,4.031265961,7.89976587,10.7132631,15.4762061,20.37895423,26.68465134,32.54997788,37.64001477,42.35341269,47.69572964,53.21796222,59.38938155,64.55389043,63.25273765,69.53246522
Indonesia,,,,,,,,,,,,,,,,,,,,
IDA only,0,0.107775203,0.202013516,0.57171826,1.79965817,3.727384596,5.995798015,10.13058061,14.15390599,17.70924121,21.44359688,25.32036684,30.51891674,35.71601142,41.78331867,46.6217281,52.09217587,57.77903182,62.38877867,68.91043535
Isle of Man,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,
Not classified,,,,,,,,,,,,,,,,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,
"Iran, Islamic Rep.",0,0,0,0,1,1,1,2,2,3,4,5,7,9,11,14,17,19,21,25
Iraq,,,,,,,,,,,,,,,,,,,,
Iceland,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,
Italy,32,37,41,45,48,50,53,56,59,61,64,67,69,72,74,76,78,84,90,90
Jamaica,0,0,0,0,1,6,8,11,14,19,21,23,26,30,31,33,35,38,40,44
Jordan,,,,,,,,,,,,,,,,,,,,
Japan,,,,,,,,,,,,,,,,,,,,
Kazakhstan,0,0,0,0,0,3,3,4,5,8,10,13,16,20,23,28,32,41,49,52
Kenya,0,0,0,0,2,4,9,13,18,24,31,38,42,45,52,61,69,75,71,74
Kyrgyz Republic,0,0,0,0,0,2,2,3,4,7,9,10,12,18,25,28,32,36,39,40
Cambodia,0,0,0,2,6,13,22,30,36,43,51,56,60,63,67,71,74,78,81,84
Kiribati,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,
Republic of Korea,,,,,,,,,,,,,,,,,,,,
Kuwait,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (excluding high income),1.062941554,1.384260066,2.3742505,3.397107272,4.258724334,5.925147437,8.501793689,10.76299957,13.03552522,16.59624192,18.87806954,20.09588164,24.40632484,27.8373397,31.97234783,37.8978098,42.89966334,47.15550663,53.37329072,60.42229678
Laos,0,0,0,1,4,6,9,11,15,18,19,21,24,26,30,34,39,46,51,56
Lebanon,,,,,,,,,,,,,,,,,,,,
Liberia,0,0,0,0,0,0,2,3,4,6,9,12,11,13,14,15,17,25,30,33
Libya,16,16,17,13,17,18,19,21,24,28,30,30,31,32,34,37,35,35,34,34
St. Lucia,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,1.199695259,1.555073573,2.625690159,3.718593358,4.627802691,6.427646106,8.977578475,11.28047593,13.53361288,17.08138319,19.37953146,20.60516033,24.96326895,28.46889594,32.54241746,38.32263181,43.30336184,47.62456792,53.72850178,60.63968618
Least developed countries: UN classification,0,0.118478248,0.147388605,0.531020112,1.821778413,3.761765845,6.054628462,10.34477381,14.32149697,17.82246619,21.66426375,25.39648172,30.67290794,36.10079204,42.30136999,47.23349111,52.4814375,57.92486744,62.4827637,68.71008225
Low income,0,0.17554947,0.219344057,0.474969224,1.805476376,3.834298205,5.783846639,9.021300247,13.08427498,16.23281228,19.98555617,23.55734056,27.89089677,33.54314079,39.52370074,43.94938517,50.02385757,56.1836309,59.96720437,66.48484063
Liechtenstein,,,,,,,,,,,,,,,,,,,,
Sri Lanka,,,,,,,,,,,,,,,,,,,,
Lower middle income,,,,,,,,,,,,,,,,,,,,
Low & middle income,,,,,,,,,,,,,,,,,,,,
Lesotho,0,0,0,0,1,3,6,14,19,25,31,37,44,50,56,59,62,63,64,65
Late-demographic dividend,,,,,,,,,,,,,,,,,,,,
Lithuania,32,37,41,45,48,50,53,56,59,61,64,67,69,72,74,76,78,84,90,90
Luxembourg,,,,,,,,,,,,,,,,,,,,
Latvia,32,37,41,45,48,50,53,56,59,61,64,67,69,72,74,76,78,84,90,90
"Macao SAR, China",,,,,,,,,,,,,,,,,,,,
St. Martin (French part),,,,,,,,,,,,,,,,,,,,
Morocco,0,0,0,5,7,8,10,11,14,16,19,23,29,34,39,46,53,57,65,70
Monaco,,,,,,,,,,,,,,,,,,,,
Moldova,0,0,0,0,1,2,3,4,6,8,10,13,15,18,22,27,31,36,41,46
Madagascar,0,0,0,0,1,1,2,2,2,3,3,3,3,3,4,5,6,8,10,13
Maldives,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,0.654396728,0.800369686,0.939837398,2.378497791,3.164850136,3.803571429,5.112149533,6.346281909,7.332985386,9.091908092,11.2666043,12.84856631,15.62950257,18.64922322,21.91808346,25.7422452,29.58162544,32.60267559,35.95820139,39.06473079
Mexico,,,,,,,,,,,,,,,,,,,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,
Middle income,,,,,,,,,,,,,,,,,,,,
North Macedonia,,,,,,,,,,,,,,,,,,,,
Mali,0,0,0,1,3,3,7,11,15,19,21,24,23,23,24,26,28,30,33,36
Malta,,,,,,,,,,,,,,,,,,,,
Myanmar,0,0,0,0,0,1,3,5,7,9,13,17,23,28,36,44,53,61,69,76
Middle East & North Africa (excluding high income),0.673684211,0.821631879,0.963333333,2.315233786,3.079387187,3.716145833,5.013110846,6.25678733,7.212539851,8.965412004,11.13415794,12.67274385,15.40802092,18.39401496,21.63629222,25.42310578,29.21177315,32.22146739,35.50996785,38.58968059
Montenegro,0,0,0,0,0,2,2,3,4,7,9,10,12,18,25,28,32,36,39,40
Mongolia,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,
Mozambique,0,0,0,0,1,2,3,7,10,11,14,16,18,25,31,37,44,50,56,60
Mauritania,0,0,0,0,1,3,7,11,15,19,23,25,26,32,35,39,42,50,52,57
Mauritius,0,0,1,1,1,2,3,3,4,5,6,12,14,16,21,23,23,24,25,25
Malawi,0,0,0,0,1,3,7,11,17,22,28,35,43,49,55,60,67,73,78,79
Malaysia,0,2,4,6,8,10,12,14,15,17,18,20,20,23,28,33,45,48,49,50
North America,,,,,,,,,,,,,,,,,,,,
Namibia,0,0,0,0,3,8,16,26,33,36,42,50,55,59,58,65,65,74,78,85
New Caledonia,,,,,,,,,,,,,,,,,,,,
Niger,0,0,0,0,0,2,4,6,7,17,20,26,31,34,32,37,45,55,59,61
Nigeria,0,0,0,2,5,6,11,12,18,22,25,29,36,42,46,50,55,57,59,65
Nicaragua,0,0,0,0,1,3,5,8,11,14,17,22,26,28,33,37,42,47,54,59
Netherlands,43,46,48,49,50,51,52,54,57,61,64,67,70,73,76,79,81,83,85,87
Norway,,,,,,,,,,,,,,,,,,,,
Nepal,0,0,0,0,0,1,2,4,8,11,15,21,25,30,36,41,46,53,58,63
Nauru,,,,,,,,,,,,,,,,,,,,
New Zealand,0,0,0,0,0,1,2,4,8,11,15,21,25,30,36,41,46,53,58,63
OECD members,,,,,,,,,,,,,,,,,,,,
Oman,0,0,0,5,7,8,10,11,14,16,19,23,29,34,39,46,53,57,65,70
Other small states,0,0.446605037,0.916093392,2.155116515,5.125431417,8.921282799,13.56321083,19.37541682,24.82588837,30.08454192,35.46405341,40.78107309,46.34606557,51.4625381,54.92740857,60.09766322,64.07274543,68.58389618,71.52159219,73.71253273
Pakistan,0,1,3,4,4,1,1,2,2,2,3,3,3,3,4,5,6,8,9,12
Panama,,,,,,,,,,,,,,,,,,,,
Peru,0,0,2,4,2,7,10,16,19,27,35,36,45,44,49,52,58,62,69,77
Philippines,0,0,0,0,0,1,4,5,7,7,8,12,14,16,20,24,30,35,40,44
Palau,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,0,0,0,0,0,1,5,12,16,20,23,27,32,39,46,50,54,56,60,62
Poland,,,,,,,,,,,,,,,,,,,,
Pre-demographic dividend,0,0.097364169,0.163821421,0.666109666,2.249834208,4.02660536,6.569814616,10.05666122,14.18269172,17.6970051,21.40963976,25.26525214,30.3992126,35.49200383,41.32097017,46.67519018,52.21986252,57.87904983,61.50840945,67.32808116
Puerto Rico,,,,,,,,,,,,,,,,,,,,
Democratic People's Republic of Korea,,,,,,,,,,,,,,,,,,,,
Portugal,,,,,,,,,,,,,,,,,,,,
Paraguay,0,0,0,0,0,3,4,6,8,11,15,16,18,21,24,26,31,37,40,44
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,
Pacific island small states,,,,,,,,,,,,,,,,,,,,
Post-demographic dividend,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,
Romania,47,52,57,54,52,51,49,48,49,49,49,49,50,54,57,61,62,64,65,68
Russian Federation,,,,,,,,,,,,,,,,,,,,
Rwanda,0,0,0,0,3,9,17,22,30,37,42,46,53,59,65,71,79,82,84,87
South Asia,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,
Sudan,0,0,0,0,0,0,0,0,3,5,5,6,6,8,9,10,13,17,19,22
Senegal,0,0,0,0,0,0,1,17,20,24,27,29,27,31,38,43,50,56,64,70
Singapore,,,,,,,,,,,,,,,,,,,,
Solomon Islands,,,,,,,,,,,,,,,,,,,,
Sierra Leone,0,0,0,0,0,1,1,2,4,6,10,13,12,13,15,20,24,32,37,43
El Salvador,0,0,1,3,7,11,16,19,23,27,32,32,33,36,37,38,41,43,43,50
San Marino,,,,,,,,,,,,,,,,,,,,
Somalia,0,0,0,0,0,0,1,1,2,4,6,8,10,13,15,19,23,26,30,33
Serbia,47,52,57,54,52,51,49,48,49,49,49,49,50,54,57,61,62,64,65,68
Sub-Saharan Africa (excluding high income),0,0.080845976,0.36122701,0.728201639,1.962951552,3.623102924,6.278461728,10.1004702,14.36003995,18.65617538,23.64216398,28.86173979,34.6004586,39.97112498,45.45891591,50.54550497,55.86359708,60.93709057,64.09963678,69.66860225
South Sudan,0,0,0,0,0,0,0,0,0,1,1,2,3,4,7,11,11,13,16,18
Sub-Saharan Africa,0,0.080827571,0.361415295,0.728297018,1.962556125,3.62237799,6.27689324,10.0968627,14.35489431,18.64890326,23.63304885,28.85326012,34.59029525,39.95959092,45.44747684,50.5328751,55.84886592,60.92074843,64.08257117,69.64950005
Small states,0,0.428440367,0.890943623,2.129699796,5.06534279,8.922474842,13.48568599,19.19112689,24.57990548,29.77849335,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,
Suriname,0,0,1,4,6,9,12,15,19,21,23,26,33,37,41,43,46,48,50,50
Slovak Republic,,,,,,,,,,,,,,,,,,,,
Slovenia,,,,,,,,,,,,,,,,,,,,
Sweden,,,,,,,,,,,,,,,,,,,,
Eswatini,0,1,2,2,4,7,11,15,20,25,34,38,43,48,58,68,77,86,88,96
Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,,
Seychelles,,,,,,,,,,,,,,,,,,,,
Syrian Arab Republic,0,0,0,0,0,0,0,0,3,5,5,6,6,8,9,10,13,17,19,22
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,
Chad,0,0,0,2,0,2,6,8,18,25,31,31,33,35,42,50,38,44,52,58
East Asia & Pacific (IDA & IBRD countries),,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (IDA & IBRD countries),,,,,,,,,,,,,,,,,,,,
Togo,0,0,0,1,2,5,6,7,9,14,21,24,27,30,32,37,44,51,55,64
Thailand,0,1,2,4,9,16,20,25,28,32,36,39,43,47,51,56,62,68,75,80
Tajikistan,0,0,0,0,0,0,2,3,4,6,9,11,13,16,22,30,36,42,47,51
Turkmenistan,,,,,,,,,,,,,,,,,,,,
Latin America & the Caribbean (IDA & IBRD countries),1.200449843,1.532285617,2.576603035,3.647480315,4.54098486,6.335111902,8.859028625,11.15653943,13.38577086,16.93365461,19.20910083,20.38580305,24.76057779,28.26018113,32.29472191,38.04268902,43.03622837,47.35141225,53.45514882,60.39636652
Timor-Leste,0,1,2,4,9,16,20,25,28,32,36,39,43,47,51,56,62,68,75,80
Middle East & North Africa (IDA & IBRD countries),0.673684211,0.821631879,0.963333333,2.315233786,3.079387187,3.716145833,5.013110846,6.25678733,7.212539851,8.965412004,11.13415794,12.67274385,15.40802092,18.39401496,21.63629222,25.42310578,29.21177315,32.22146739,35.50996785,38.58968059
Tonga,,,,,,,,,,,,,,,,,,,,
South Asia (IDA & IBRD),,,,,,,,,,,,,,,,,,,,
Sub-Saharan Africa (IDA & IBRD countries),0,0.080827571,0.361415295,0.728297018,1.962556125,3.62237799,6.27689324,10.0968627,14.35489431,18.64890326,23.63304885,28.85326012,34.59029525,39.95959092,45.44747684,50.5328751,55.84886592,60.92074843,64.08257117,69.64950005
Trinidad and Tobago,0,0,1,4,6,9,12,15,19,21,23,26,33,37,41,43,46,48,50,50
Tunisia,0,5,7,8,9,10,10,11,12,13,14,14,12,13,14,15,16,16,18,20
Turkey,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,0,0,0,0,1,2,5,11,12,15,18,20,31,36,43,49,54,60,67,75
Uganda,0,1,1,2,5,9,8,10,14,16,20,23,31,41,50,54,60,69,70,84
Ukraine,0,0,0,0,1,1,2,3,4,7,9,11,17,23,28,27,38,43,50,54
Upper middle income,,,,,,,,,,,,,,,,,,,,
Uruguay,,,,,,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,,,,,,
Uzbekistan,0,0,0,0,0,0,4,7,12,16,19,23,13,22,30,36,43,51,58,58
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,
