country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,
Chad,1.25,1.16,1.09,1.07,0.96,0.94,0.86,0.82,0.77,0.69,0.65,0.61,0.58,0.53,0.46,0.45,0.41,0.4,0.38,0.34
East Asia & Pacific (IDA & IBRD countries),,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (IDA & IBRD countries),,,,,,,,,,,,,,,,,,,,
Togo,2.48,2.23,2.01,1.86,1.76,1.68,1.61,1.54,1.43,1.33,1.19,1.04,0.96,0.89,0.84,0.79,0.74,0.7,0.63,0.59
Thailand,0.66,0.6,0.54,0.48,0.44,0.39,0.35,0.31,0.28,0.26,0.24,0.22,0.2,0.18,0.16,0.14,0.12,0.1,0.09,0.08
Tajikistan,0.01,0.01,0.01,0.03,0.05,0.07,0.09,0.11,0.13,0.13,0.15,0.15,0.15,0.15,0.16,0.16,0.16,0.15,0.15,0.17
Turkmenistan,,,,,,,,,,,,,,,,,,,,
Latin America & the Caribbean (IDA & IBRD countries),,,,,,,,,,,,,,,,,,,,
Timor-Leste,0.03,0.03,0.04,0.04,0.05,0.05,0.05,0.06,0.07,0.07,0.08,0.08,0.09,0.1,0.1,0.11,0.12,0.13,0.14,0.15
Middle East & North Africa (IDA & IBRD countries),0.037230943,0.039883658,0.03910693,0.039652391,0.040529264,0.039489488,0.039362724,0.036798634,0.038744662,0.038726152,0.038883792,0.037422537,0.038862113,0.038574276,0.038469086,0.042380956,0.039655015,0.042412368,0.042195908,0.044085567
Tonga,,,,,,,,,,,,,,,,,,,,
South Asia (IDA & IBRD),,,,,,,,,,,,,,,,,,,,
Sub-Saharan Africa (IDA & IBRD countries),3.163142775,3.006585513,2.852575832,2.708122903,2.575493688,2.453278378,2.338630119,2.21698943,2.088126892,1.965713548,1.851671543,1.717209567,1.586330462,1.469539894,1.365824666,1.259932617,1.178532915,1.093450024,1.004292099,0.936018937
Trinidad and Tobago,0.84,0.83,0.81,0.77,0.71,0.65,0.59,0.52,0.45,0.39,0.31,0.25,0.2,0.17,0.13,0.11,0.09,0.09,0.08,0.07
Tunisia,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Turkey,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,3.91,3.74,3.55,3.39,3.2,3.07,2.93,2.75,2.64,2.48,2.35,2.27,2.2,2.06,2.01,1.91,1.84,1.71,1.59,1.46
Uganda,4.7,4.56,4.43,4.28,4.13,4.02,3.92,3.84,3.7,3.55,3.35,3.13,2.7,2.52,2.24,2.02,1.89,1.72,1.49,1.38
Ukraine,0.62,0.59,0.58,0.54,0.51,0.46,0.43,0.4,0.37,0.34,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.28
Upper middle income,,,,,,,,,,,,,,,,,,,,
Uruguay,,,,,,,,,,,,,,,,,,,,
United States,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,
Uzbekistan,0.03,0.04,0.05,0.05,0.09,0.09,0.1,0.11,0.12,0.12,0.13,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,
"Venezuela, RB",0.38,0.41,0.43,0.43,0.42,0.39,0.36,0.33,0.31,0.29,0.27,0.25,0.24,0.22,0.21,0.2,0.2,0.19,0.19,0.19
British Virgin Islands,,,,,,,,,,,,,,,,,,,,
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,
Vietnam,0.3,0.31,0.32,0.32,0.31,0.29,0.27,0.25,0.22,0.2,0.18,0.17,0.15,0.13,0.12,0.11,0.09,0.07,0.06,0.05
Vanuatu,,,,,,,,,,,,,,,,,,,,
World,0.45,0.43,0.42,0.4,0.38,0.37,0.36,0.35,0.34,0.33,0.32,0.3,0.29,0.28,0.27,0.26,0.25,0.24,0.23,0.22
Samoa,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
South Africa,13.37,13.36,13.19,13.02,12.89,12.67,12.33,11.82,11.11,10.29,9.48,8.67,7.95,7.16,6.6,5.94,5.45,4.98,4.38,3.98
Zambia,8.3,7.88,7.53,7.21,6.74,6.29,5.98,5.8,5.37,5.21,5.03,4.87,4.69,4.55,4.38,4.11,3.85,3.67,3.52,3.17
Zimbabwe,11.48,10.61,9.88,9.2,8.67,8.14,7.8,7.45,7.18,6.85,6.39,5.66,4.88,4.56,4.23,3.91,3.58,3.26,2.87,2.81
