country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Cuba,0.07,0.08,0.09,0.11,0.12,0.13,0.15,0.16,0.18,0.19,0.2,0.21,0.21,0.21,0.2,0.2,0.18,0.17,0.16,0.14
Curacao,,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,
Czech Republic,,,,,,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,
Djibouti,2.49,1.78,1.38,1.03,0.9,0.76,0.68,0.65,0.54,0.49,0.44,0.39,0.35,0.31,0.26,0.22,0.19,0.17,0.15,0.14
Dominica,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,
Dominican Republic,1.03,0.9,0.8,0.71,0.63,0.57,0.49,0.42,0.39,0.37,0.34,0.32,0.31,0.3,0.29,0.29,0.28,0.28,0.27,0.27
Algeria,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05
East Asia & Pacific (excluding high income),,,,,,,,,,,,,,,,,,,,
Early-demographic dividend,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (excluding high income),,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,,,,,,,,,,,,,,,,,,,,
Ecuador,0.23,0.23,0.21,0.19,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.14
"Egypt, Arab Rep.",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.04,0.04,0.05
Euro area,,,,,,,,,,,,,,,,,,,,
Eritrea,0.63,0.59,0.55,0.51,0.47,0.43,0.39,0.35,0.31,0.28,0.26,0.23,0.2,0.17,0.15,0.14,0.13,0.12,0.11,0.11
Spain,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.06,0.06
Estonia,,,,,,,,,,,,,,,,,,,,
Ethiopia,1.07,0.93,0.84,0.74,0.67,0.59,0.55,0.5,0.44,0.41,0.37,0.33,0.29,0.25,0.23,0.21,0.2,0.18,0.16,0.16
European Union,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,1.3616336,1.302110447,1.235755669,1.172934337,1.116227133,1.064801584,1.016580155,0.970669474,0.939954367,0.902681099,0.872534267,0.824886814,0.774341107,0.733831752,0.690697869,0.655064795,0.625718828,0.590431395,0.562089971,0.540338772
Finland,,,,,,,,,,,,,,,,,,,,
Fiji,0.03,0.03,0.03,0.04,0.04,0.05,0.05,0.06,0.07,0.07,0.08,0.08,0.09,0.1,0.1,0.11,0.12,0.13,0.14,0.14
France,0.11,0.11,0.11,0.13,0.12,0.12,0.1,0.1,0.1,0.09,0.08,0.09,0.09,0.09,0.1,0.1,0.1,,,
Faroe Islands,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,
Gabon,3.14,3.01,2.76,2.57,2.42,2.23,2.1,1.99,1.87,1.84,1.72,1.63,1.51,1.37,1.26,1.15,0.99,0.9,0.81,0.74
United Kingdom,,,,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,
Ghana,1.47,1.42,1.34,1.24,1.12,1.13,1.08,1.03,1.02,0.95,0.99,0.95,0.9,0.88,0.84,0.8,0.76,0.74,0.73,0.7
Gibraltar,,,,,,,,,,,,,,,,,,,,
Guinea,1.27,1.21,1.13,1.06,1.02,0.95,0.92,0.85,0.83,0.81,0.74,0.7,0.66,0.55,0.54,0.57,0.53,0.51,0.46,0.39
"Gambia, The",1.57,1.56,1.51,1.42,1.36,1.33,1.29,1.27,1.26,1.22,1.17,1.14,1.1,1.11,1.12,1.1,1.09,1.07,1.07,1.06
Guinea-Bissau,3.56,3.43,3.19,2.96,2.74,2.57,2.4,2.34,2.23,2.16,2.05,1.97,1.86,1.72,1.58,1.51,1.39,1.28,1.25,1.15
Equatorial Guinea,3.25,3.37,3.38,3.51,3.6,3.63,3.77,3.87,3.88,4.11,4.17,4.34,4.4,4.24,4.03,4.16,4.17,4.14,4,4.06
Greece,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,
Greenland,,,,,,,,,,,,,,,,,,,,
Guatemala,0.26,0.25,0.25,0.25,0.23,0.21,0.2,0.19,0.18,0.16,0.14,0.13,0.12,0.11,0.09,0.09,0.09,0.08,0.07,0.07
Guam,,,,,,,,,,,,,,,,,,,,
Guyana,0.88,1.01,1.05,1.06,1.01,0.91,0.82,0.73,0.65,0.65,0.62,0.6,0.57,0.54,0.53,0.51,0.5,0.48,0.46,0.42
High income,,,,,,,,,,,,,,,,,,,,
"Hong Kong SAR, China",,,,,,,,,,,,,,,,,,,,
Honduras,0.36,0.28,0.22,0.18,0.15,0.13,0.12,0.11,0.11,0.11,0.11,0.12,0.12,0.12,0.13,0.13,0.13,0.13,0.12,0.11
